sampleName,cellLine,numberCells,technique,ip,patientID,sampleID,condition,experimentName,technicalReplicate,genome,unmappedBam
CLL_ATAC-seq_2938_1-5-12095_ATAC30-19_hg19,CLL,,ATAC-seq,,2938,1-5-12095,,ATAC30-19,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_1_samples/BSF_0168_H2VNJBBXX_1#CLL_ATAC_seq_2938_1_5_12095_ATAC30_19.bam
CLL_ATAC-seq_2938_1-5-20335_ATAC30-18_hg19,CLL,,ATAC-seq,,2938,1-5-20335,,ATAC30-18,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_1_samples/BSF_0168_H2VNJBBXX_1#CLL_ATAC_seq_2938_1_5_20335_ATAC30_18.bam
CLL_ATAC-seq_2938_1-5-21490_ATAC30-20_hg19,CLL,,ATAC-seq,,2938,1-5-21490,,ATAC30-20,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_1_samples/BSF_0168_H2VNJBBXX_1#CLL_ATAC_seq_2938_1_5_21490_ATAC30_20.bam
CLL_ATAC-seq_2938_1-5-46799_ATAC30-17_hg19,CLL,,ATAC-seq,,2938,1-5-46799,,ATAC30-17,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_1_samples/BSF_0168_H2VNJBBXX_1#CLL_ATAC_seq_2938_1_5_46799_ATAC30_17.bam
CLL_ATAC-seq_2938_1-5-56744_ATAC32-3_hg19,CLL,,ATAC-seq,,2938,1-5-56744,,ATAC32-3,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_2_samples/BSF_0178_H322GBBXX_2#CLL_ATAC_seq_2938_1_5_56744_ATAC32_3.bam
CLL_ATAC-seq_2952_1-5-28780_ATAC36-5_1_hg19,CLL,,ATAC-seq,,2952,1-5-28780,,ATAC36-5,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_6_samples/BSF_0188_H3GKMBBXX_6#CLL_ATAC_seq_2952_1_5_28780_ATAC36_5.bam
CLL_ATAC-seq_2977_1-5-54424_ATAC32-1_hg19,CLL,,ATAC-seq,,2977,1-5-54424,,ATAC32-1,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_2_samples/BSF_0178_H322GBBXX_2#CLL_ATAC_seq_2977_1_5_54424_ATAC32_1.bam
CLL_ATAC-seq_2977_1-5-7923_ATAC30-12_hg19,CLL,,ATAC-seq,,2977,1-5-7923,,ATAC30-12,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_2_samples/BSF_0168_H2VNJBBXX_2#CLL_ATAC_seq_2977_1_5_7923_ATAC30_12.bam
CLL_ATAC-seq_3069_1-5-27496_ATAC27-6_hg19,CLL,,ATAC-seq,,3069,1-5-27496,,ATAC27-6,,hg19,/scratch/lab_bsf/samples/BSF_0162_H2TCFBBXX/BSF_0162_H2TCFBBXX_2_samples/BSF_0162_H2TCFBBXX_2#CLL_ATAC_seq_3069_1_5_27496_ATAC27_6.bam
CLL_ATAC-seq_3069_1-5-6294_ATAC31-13_hg19,CLL,,ATAC-seq,,3069,1-5-6294,,ATAC31-13,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_1_samples/BSF_0178_H322GBBXX_1#CLL_ATAC_seq_3069_1_5_6294_ATAC31_13.bam
CLL_ATAC-seq_3142_1-5-55865_ATAC29-4_hg19,CLL,,ATAC-seq,,3142,1-5-55865,,ATAC29-4,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_1_samples/BSF_0168_H2VNJBBXX_1#CLL_ATAC_seq_3142_1_5_55865_ATAC29_4.bam
CLL_ATAC-seq_3156_1-5-20444_ATAC30-3_hg19,CLL,,ATAC-seq,,3156,1-5-20444,,ATAC30-3,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_4_samples/BSF_0168_H2VNJBBXX_4#CLL_ATAC_seq_3156_1_5_20444_ATAC30_3.bam
CLL_ATAC-seq_3156_1-5-27542_ATAC31-2_hg19,CLL,,ATAC-seq,,3156,1-5-27542,,ATAC31-2,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_1_samples/BSF_0178_H322GBBXX_1#CLL_ATAC_seq_3156_1_5_27542_ATAC31_2.bam
