sampleName,cellLine,numberCells,technique,ip,patientID,sampleID,condition,experimentName,technicalReplicate,genome,unmappedBam
CLL_CM_H3K27me3_20335_1-5-2938_CM36-7_1_hg19,CLL,,CM,H3K27me3,2938,1-5-20335,,CM36-7,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#H3K27me3_CLL_2938_1_5_20335_CM_CM36_7.bam
CLL_CM_H3K27me3_27302_1-5-4080_CM37s11_hg19,CLL,,CM,H3K27me3,4080,1-5-27302,,CM37s11,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_H3K27me3_4080_1_5_27302_CM37s11.bam
CLL_CM_H3K27me3_29612_1-5-2132_CM36-15_1_hg19,CLL,,CM,H3K27me3,2132,1-5-29612,,CM36-15,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#H3K27me3_CLL_2132_1_5_29612_CM_CM36_15.bam
CLL_CM_H3K27me3_30597_1-5-3215_CM37s19_hg19,CLL,,CM,H3K27me3,3215,1-5-30597,,CM37s19,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_H3K27me3_3215_1_5_30597_CM37s19.bam
CLL_CM_H3K27me3_33070_1-5-1125_CM36-11_1_hg19,CLL,,CM,H3K27me3,1125,1-5-33070,,CM36-11,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#H3K27me3_CLL_1125_1_5_33070_CM_CM36_11.bam
CLL_CM_H3K27me3_34053_1-5-2459_CM37s23_hg19,CLL,,CM,H3K27me3,2459,1-5-34053,,CM37s23,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_H3K27me3_2459_1_5_34053_CM37s23.bam
CLL_CM_H3K27me3_47651_1-5-3240_CM37s3_hg19,CLL,,CM,H3K27me3,3240,1-5-47651,,CM37s3,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_H3K27me3_3240_1_5_47651_CM37s3.bam
CLL_CM_H3K27me3_48773_1-5-4189_CM37s7_hg19,CLL,,CM,H3K27me3,4189,1-5-48773,,CM37s7,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_H3K27me3_4189_1_5_48773_CM37s7.bam
CLL_CM_H3K27me3_52817_1-5-4784_CM37s15_hg19,CLL,,CM,H3K27me3,4784,1-5-52817,,CM37s15,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_H3K27me3_4784_1_5_52817_CM37s15.bam
CLL_CM_H3K27me3_60426_1-5-5263_CM36s3_2_hg19,CLL,,CM,H3K27me3,5263,1-5-60426,,CM36s3,2,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_3_samples/BSF_0197_H5JTNBBXX_3#H3K27me3_CLL_5263_1_5_60426_CM_CM36_3.bam
CLL_CM_H3K27me3_60426_1-5-5263_CM36-3_1_hg19,CLL,,CM,H3K27me3,5263,1-5-60426,,CM36-3,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#H3K27me3_CLL_5263_1_5_60426_CM_CM36_3.bam
CLL_CM_H3K4me1_606_1-5-3873_CM36s18_2_hg19,CLL,,CM,H3K4me1,3873,1-5-606,,CM36s18,2,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_3_samples/BSF_0197_H5JTNBBXX_3#H3K4me1_CLL_3873_1_5_606_CM_CM36_18.bam
CLL_CM_H3K4me1_606_1-5-3873_CM36-18_1_hg19,CLL,,CM,H3K4me1,3873,1-5-606,,CM36-18,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#H3K4me1_CLL_3873_1_5_606_CM_CM36_18.bam
CLL_CM_H3K4me1_1614_1-5-1781_CM36s22_2_hg19,CLL,,CM,H3K4me1,1781,1-5-1614,,CM36s22,2,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_3_samples/BSF_0197_H5JTNBBXX_3#H3K4me1_CLL_1781_1_5_1614_CM_CM36_22.bam
CLL_CM_H3K4me1_1614_1-5-1781_CM36-22_1_hg19,CLL,,CM,H3K4me1,1781,1-5-1614,,CM36-22,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#H3K4me1_CLL_1781_1_5_1614_CM_CM36_22.bam
CLL_CM_H3K4me1_20335_1-5-2938_CM36-6_1_hg19,CLL,,CM,H3K4me1,2938,1-5-20335,,CM36-6,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#H3K4me1_CLL_2938_1_5_20335_CM_CM36_6.bam
CLL_CM_H3K4me1_27302_1-5-4080_CM37s10_hg19,CLL,,CM,H3K4me1,4080,1-5-27302,,CM37s10,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_H3K4me1_4080_1_5_27302_CM37s10.bam
CLL_CM_H3K4me1_29612_1-5-2132_CM36-14_1_hg19,CLL,,CM,H3K4me1,2132,1-5-29612,,CM36-14,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#H3K4me1_CLL_2132_1_5_29612_CM_CM36_14.bam
CLL_CM_H3K4me1_30597_1-5-3215_CM37s18_hg19,CLL,,CM,H3K4me1,3215,1-5-30597,,CM37s18,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_H3K4me1_3215_1_5_30597_CM37s18.bam
CLL_CM_H3K4me1_33070_1-5-1125_CM36-10_1_hg19,CLL,,CM,H3K4me1,1125,1-5-33070,,CM36-10,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#H3K4me1_CLL_1125_1_5_33070_CM_CM36_10.bam
CLL_CM_H3K4me1_34053_1-5-2459_CM37s22_hg19,CLL,,CM,H3K4me1,2459,1-5-34053,,CM37s22,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_H3K4me1_2459_1_5_34053_CM37s22.bam
CLL_CM_H3K4me1_47651_1-5-3240_CM37s2_hg19,CLL,,CM,H3K4me1,3240,1-5-47651,,CM37s2,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_H3K4me1_3240_1_5_47651_CM37s2.bam
CLL_CM_H3K4me1_48773_1-5-4189_CM37s6_hg19,CLL,,CM,H3K4me1,4189,1-5-48773,,CM37s6,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_H3K4me1_4189_1_5_48773_CM37s6.bam
CLL_CM_H3K4me1_52817_1-5-4784_CM37s14_hg19,CLL,,CM,H3K4me1,4784,1-5-52817,,CM37s14,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_H3K4me1_4784_1_5_52817_CM37s14.bam
CLL_CM_H3K4me1_60426_1-5-5263_CM36s2_2_hg19,CLL,,CM,H3K4me1,5263,1-5-60426,,CM36s2,2,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_3_samples/BSF_0197_H5JTNBBXX_3#H3K4me1_CLL_5263_1_5_60426_CM_CM36_2.bam
CLL_CM_H3K4me1_60426_1-5-5263_CM36-2_1_hg19,CLL,,CM,H3K4me1,5263,1-5-60426,,CM36-2,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#H3K4me1_CLL_5263_1_5_60426_CM_CM36_2.bam
CLL_CM_IgG_606_1-5-3873_CM36s20_2_hg19,CLL,,CM,IgG,3873,1-5-606,,CM36s20,2,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_3_samples/BSF_0197_H5JTNBBXX_3#IgG_CLL_3873_1_5_606_CM_CM36_20.bam
CLL_CM_IgG_606_1-5-3873_CM36-20_1_hg19,CLL,,CM,IgG,3873,1-5-606,,CM36-20,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#IgG_CLL_3873_1_5_606_CM_CM36_20.bam
CLL_CM_IgG_1614_1-5-1781_CM36s24_2_hg19,CLL,,CM,IgG,1781,1-5-1614,,CM36s24,2,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_3_samples/BSF_0197_H5JTNBBXX_3#IgG_CLL_1781_1_5_1614_CM_CM36_24.bam
CLL_CM_IgG_1614_1-5-1781_CM36-24_1_hg19,CLL,,CM,IgG,1781,1-5-1614,,CM36-24,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#IgG_CLL_1781_1_5_1614_CM_CM36_24.bam
CLL_CM_IgG_20335_1-5-2938_CM36-8_1_hg19,CLL,,CM,IgG,2938,1-5-20335,,CM36-8,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#IgG_CLL_2938_1_5_20335_CM_CM36_8.bam
CLL_CM_IgG_27302_1-5-4080_CM37s12_hg19,CLL,,CM,IgG,4080,1-5-27302,,CM37s12,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_IgG_4080_1_5_27302_CM37s12.bam
CLL_CM_IgG_29612_1-5-2132_CM36-16_1_hg19,CLL,,CM,IgG,2132,1-5-29612,,CM36-16,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#IgG_CLL_2132_1_5_29612_CM_CM36_16.bam
CLL_CM_IgG_30597_1-5-3215_CM37s20_hg19,CLL,,CM,IgG,3215,1-5-30597,,CM37s20,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_IgG_3215_1_5_30597_CM37s20.bam
CLL_CM_IgG_33070_1-5-1125_CM36-12_1_hg19,CLL,,CM,IgG,1125,1-5-33070,,CM36-12,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#IgG_CLL_1125_1_5_33070_CM_CM36_12.bam
CLL_CM_IgG_34053_1-5-2459_CM37s24_hg19,CLL,,CM,IgG,2459,1-5-34053,,CM37s24,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_IgG_2459_1_5_34053_CM37s24.bam
CLL_CM_IgG_47651_1-5-3240_CM37s4_hg19,CLL,,CM,IgG,3240,1-5-47651,,CM37s4,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_IgG_3240_1_5_47651_CM37s4.bam
CLL_CM_IgG_48773_1-5-4189_CM37s8_hg19,CLL,,CM,IgG,4189,1-5-48773,,CM37s8,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_IgG_4189_1_5_48773_CM37s8.bam
CLL_CM_IgG_52817_1-5-4784_CM37s16_hg19,CLL,,CM,IgG,4784,1-5-52817,,CM37s16,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_IgG_4784_1_5_52817_CM37s16.bam
CLL_CM_IgG_60426_1-5-5263_CM36s4_2_hg19,CLL,,CM,IgG,5263,1-5-60426,,CM36s4,2,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_3_samples/BSF_0197_H5JTNBBXX_3#IgG_CLL_5263_1_5_60426_CM_CM36_4.bam
CLL_CM_IgG_60426_1-5-5263_CM36-4_1_hg19,CLL,,CM,IgG,5263,1-5-60426,,CM36-4,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#IgG_CLL_5263_1_5_60426_CM_CM36_4.bam
